ID,Gender,Marital_Status,Age,Education,Income,Occupation,Settlement_Size
100000065,Female,Not-Single,26,High School,118372,Skilled,mid-Sized City
100000066,Male,Single,48,High School,148115,Skilled,mid-Sized City
100000067,Female,Not-Single,29,High School,111069,Skilled,Small City
100000068,Male,Not-Single,22,High School,139780,Skilled,Small City
100000069,Male,Single,37,High School,106978,Skilled,Big City
100000070,Female,Not-Single,25,High School,110019,Skilled,Big City
100000071,Female,Not-Single,30,High School,169102,Skilled,mid-Sized City
100000072,Male,Single,46,High School,73703,unemployed/unskilled,Small City
100000073,Male,Single,51,High School,141858,Management/officer/self-employed,Big City
100000074,Female,Not-Single,41,Graduate,135959,unemployed/unskilled,Small City
100000075,Male,Single,40,High School,140888,Management/officer/self-employed,Big City
100000076,Male,Single,66,Graduate,157299,Management/officer/self-employed,Big City
100000077,Male,Single,34,High School,125187,Skilled,mid-Sized City
100000078,Male,Single,51,High School,155486,Skilled,Big City
100000079,Male,Single,39,High School,151697,unemployed/unskilled,Small City
100000080,Male,Not-Single,22,High School,126400,Skilled,mid-Sized City
100000081,Female,Not-Single,44,Graduate,159246,Skilled,Big City
100000082,Male,Single,47,High School,136138,Skilled,mid-Sized City
100000083,Female,Not-Single,24,High School,84792,unemployed/unskilled,Small City
100000084,Female,Not-Single,58,Graduate,100210,unemployed/unskilled,Small City
100000085,Male,Single,52,High School,93706,unemployed/unskilled,Small City
100000086,Female,Not-Single,29,High School,133783,Management/officer/self-employed,mid-Sized City
100000087,Female,Not-Single,27,High School,110064,Skilled,Big City
100000088,Male,Single,47,High School,241068,Skilled,mid-Sized City
100000089,Male,Single,30,Unknown/Other,149022,Management/officer/self-employed,Big City
100000090,Male,Single,28,Unknown/Other,92973,Skilled,Big City
100000091,Male,Single,56,High School,110605,Skilled,mid-Sized City
100000092,Male,Single,54,High School,116604,Skilled,mid-Sized City
100000093,Female,Not-Single,33,High School,71070,unemployed/unskilled,Small City
100000094,Male,Single,20,Unknown/Other,128678,Skilled,mid-Sized City
100000095,Male,Single,54,High School,165230,Skilled,Big City
100000096,Male,Single,58,Graduate,268340,Skilled,mid-Sized City
100000097,Female,Not-Single,61,Graduate,135070,Skilled,mid-Sized City
100000098,Male,Single,34,High School,134794,Skilled,Big City
100000099,Male,Single,36,High School,120153,Skilled,mid-Sized City
100000100,Male,Single,36,High School,195465,Management/officer/self-employed,Big City
100000101,Male,Not-Single,41,High School,93372,unemployed/unskilled,Small City
100000102,Male,Single,24,Unknown/Other,110446,Skilled,Small City
100000103,Female,Not-Single,24,High School,95186,Skilled,mid-Sized City
100000104,Male,Single,35,High School,115343,Skilled,mid-Sized City
100000105,Male,Not-Single,26,High School,107276,Skilled,mid-Sized City
100000106,Male,Single,39,High School,244716,Management/officer/self-employed,Big City
100000107,Male,Single,39,High School,183108,Management/officer/self-employed,Big City
100000108,Male,Single,32,Unknown/Other,152876,Skilled,Big City
100000109,Female,Not-Single,30,High School,165147,Skilled,Small City
100000110,Male,Not-Single,35,High School,140520,Skilled,Small City
100000111,Male,Not-Single,31,High School,124203,Skilled,mid-Sized City
100000112,Female,Not-Single,23,High School,107205,Skilled,mid-Sized City
100000113,Male,Single,28,Unknown/Other,121432,unemployed/unskilled,Big City
100000114,Female,Not-Single,25,High School,162445,Skilled,Small City
100000115,Male,Not-Single,35,High School,134112,Skilled,mid-Sized City
100000116,Male,Single,47,High School,131842,Skilled,mid-Sized City
100000117,Female,Not-Single,30,High School,189896,Management/officer/self-employed,Small City
100000118,Female,Not-Single,27,High School,109099,Skilled,Big City
100000119,Female,Not-Single,23,High School,153539,Skilled,mid-Sized City
100000120,Male,Not-Single,36,High School,180495,Management/officer/self-employed,mid-Sized City
100000121,Female,Not-Single,25,High School,104653,Skilled,Big City
100000122,Female,Not-Single,41,Graduate,166933,Management/officer/self-employed,Big City
100000123,Male,Single,24,Unknown/Other,66118,unemployed/unskilled,Small City
100000124,Male,Single,63,Graduate,135754,Skilled,Small City
100000125,Female,Not-Single,27,High School,116103,Skilled,Big City
100000126,Male,Single,30,Unknown/Other,104293,Skilled,mid-Sized City
100000127,Male,Not-Single,40,High School,71702,unemployed/unskilled,Small City
100000128,Male,Single,30,Unknown/Other,99066,Skilled,Big City
100000129,Male,Single,34,High School,143979,Management/officer/self-employed,Big City
100000130,Female,Not-Single,29,High School,123818,Skilled,Small City
100000131,Female,Not-Single,24,High School,176714,Skilled,Big City
100000132,Male,Single,29,Unknown/Other,149249,Skilled,Big City
100000133,Male,Single,27,Unknown/Other,77535,unemployed/unskilled,Small City
100000134,Male,Single,47,High School,116540,Skilled,mid-Sized City
100000135,Female,Not-Single,21,High School,194728,Skilled,Small City
100000136,Female,Not-Single,38,High School,109311,Skilled,Big City
100000137,Male,Single,27,Unknown/Other,204723,Skilled,Big City
100000138,Male,Single,66,Graduate,126003,unemployed/unskilled,Small City
100000139,Male,Single,35,High School,123109,Skilled,mid-Sized City
100000140,Female,Not-Single,44,Graduate,108251,unemployed/unskilled,Small City
100000141,Male,Not-Single,27,High School,89908,unemployed/unskilled,Small City
100000142,Female,Not-Single,30,High School,176057,Management/officer/self-employed,mid-Sized City
100000143,Male,Single,27,Unknown/Other,144332,Management/officer/self-employed,Big City
100000144,Male,Single,22,Unknown/Other,101185,Skilled,mid-Sized City
100000145,Female,Not-Single,23,High School,107406,Skilled,Big City
100000146,Male,Single,30,Unknown/Other,140665,Skilled,mid-Sized City
100000147,Female,Not-Single,39,Graduate,106461,Skilled,Small City
100000148,Female,Not-Single,51,Graduate,127825,Skilled,Small City
100000149,Male,Single,28,Unknown/Other,133898,Skilled,mid-Sized City
100000150,Male,Single,46,High School,152383,Skilled,Big City
100000151,Male,Single,42,High School,119926,Skilled,Small City
100000152,Male,Single,38,High School,108784,Skilled,Big City
100000153,Male,Single,24,Unknown/Other,153286,Skilled,mid-Sized City
100000154,Female,Not-Single,29,High School,214204,Skilled,Big City
100000155,Male,Single,36,High School,208101,Management/officer/self-employed,Big City
100000156,Female,Not-Single,20,High School,95355,Skilled,mid-Sized City
100000157,Male,Single,48,High School,124156,Skilled,mid-Sized City
100000158,Male,Not-Single,45,Graduate,72215,unemployed/unskilled,Small City
100000159,Male,Single,38,High School,146529,Skilled,Big City
100000160,Male,Single,34,High School,75343,unemployed/unskilled,Small City
100000161,Male,Single,36,High School,129789,Skilled,mid-Sized City
100000162,Female,Not-Single,30,High School,101153,Skilled,mid-Sized City
100000163,Male,Single,36,High School,127833,Skilled,Big City
100000164,Male,Single,70,Graduate,224998,Management/officer/self-employed,Big City
100000165,Male,Single,36,High School,124445,Skilled,Big City
100000166,Male,Single,32,Unknown/Other,141116,Skilled,mid-Sized City
100000167,Female,Not-Single,33,High School,104276,Skilled,Big City
100000168,Female,Not-Single,20,High School,147687,Skilled,Big City
100000169,Female,Not-Single,25,High School,125168,Skilled,mid-Sized City
100000170,Male,Not-Single,31,High School,115369,Skilled,Big City
100000171,Male,Single,33,High School,95445,Skilled,Small City
100000172,Female,Not-Single,26,High School,95159,Skilled,mid-Sized City
100000173,Female,Not-Single,34,High School,153031,Management/officer/self-employed,Big City
100000174,Male,Single,33,High School,108899,Skilled,Small City
100000175,Male,Single,26,Unknown/Other,113515,Skilled,mid-Sized City
100000176,Female,Not-Single,53,Graduate,211229,Management/officer/self-employed,Small City
100000177,Male,Not-Single,42,Graduate,121307,Skilled,Small City
100000178,Male,Single,52,High School,131727,Skilled,Big City
100000179,Male,Single,31,Unknown/Other,133574,Management/officer/self-employed,mid-Sized City
100000180,Male,Single,65,Graduate,117334,Skilled,Small City
100000181,Male,Not-Single,28,High School,177291,Skilled,Big City
100000182,Male,Not-Single,30,High School,168763,Management/officer/self-employed,mid-Sized City
100000183,Male,Single,40,High School,77720,unemployed/unskilled,Small City
100000184,Male,Single,50,High School,176645,Skilled,Big City
100000185,Male,Single,36,High School,106205,Skilled,mid-Sized City
100000186,Male,Single,31,Unknown/Other,97785,Skilled,mid-Sized City
100000187,Female,Not-Single,74,Post-Graduate,214364,Management/officer/self-employed,mid-Sized City
100000188,Male,Single,68,Graduate,74525,unemployed/unskilled,Small City
100000189,Male,Not-Single,20,High School,98988,Skilled,Small City
100000190,Female,Not-Single,33,High School,133561,Skilled,mid-Sized City
100000191,Male,Single,54,High School,217651,Management/officer/self-employed,Big City
100000192,Male,Single,34,High School,116525,unemployed/unskilled,Small City
100000193,Male,Single,36,High School,135302,Skilled,Big City
100000194,Male,Not-Single,29,High School,106434,Skilled,mid-Sized City
100000195,Male,Single,21,Unknown/Other,128350,Skilled,Big City
100000196,Female,Not-Single,34,High School,147626,Management/officer/self-employed,Big City
100000197,Female,Not-Single,28,High School,102697,Skilled,Small City
100000198,Female,Not-Single,27,High School,120262,Skilled,Small City
100000199,Male,Single,36,High School,124214,Skilled,Big City
100000200,Male,Not-Single,40,High School,175223,Management/officer/self-employed,mid-Sized City
100000201,Male,Single,52,High School,137467,Skilled,Small City
100000202,Male,Not-Single,27,High School,65815,unemployed/unskilled,Small City
100000203,Male,Single,26,Unknown/Other,129864,Skilled,mid-Sized City
100000204,Male,Not-Single,21,High School,88475,Skilled,mid-Sized City
100000205,Male,Single,38,High School,74666,unemployed/unskilled,Small City
100000206,Male,Single,38,High School,222294,Management/officer/self-employed,Big City
100000207,Male,Single,43,High School,112878,Skilled,Small City
100000208,Male,Single,26,Unknown/Other,103411,Skilled,Big City
100000209,Male,Not-Single,21,High School,112868,unemployed/unskilled,Small City
100000210,Male,Single,55,High School,157940,Skilled,Big City
100000211,Male,Single,33,High School,115835,Skilled,Big City
100000212,Female,Not-Single,45,Graduate,109807,unemployed/unskilled,Small City
100000213,Male,Single,50,High School,150699,Skilled,mid-Sized City
100000214,Male,Single,66,Graduate,178967,Management/officer/self-employed,Small City
100000215,Male,Single,51,High School,132767,Skilled,Small City
100000216,Female,Not-Single,39,Graduate,86152,unemployed/unskilled,Small City
100000217,Male,Single,31,Unknown/Other,114528,Skilled,Big City
100000218,Male,Single,23,Unknown/Other,133912,Skilled,mid-Sized City
100000219,Male,Not-Single,24,High School,81210,unemployed/unskilled,Small City
100000220,Female,Not-Single,64,Post-Graduate,131242,Skilled,Small City
100000221,Male,Not-Single,26,High School,68804,unemployed/unskilled,Small City
100000222,Female,Not-Single,23,High School,96961,Skilled,mid-Sized City
100000223,Male,Single,30,Unknown/Other,90719,Skilled,Big City
100000224,Male,Single,32,Unknown/Other,114116,Skilled,mid-Sized City
100000225,Male,Single,30,Unknown/Other,128639,Skilled,mid-Sized City
100000226,Male,Single,27,Unknown/Other,106623,Skilled,mid-Sized City
100000227,Male,Single,27,Unknown/Other,236264,Skilled,mid-Sized City
100000228,Male,Single,53,High School,207783,Management/officer/self-employed,mid-Sized City
100000229,Male,Single,22,Unknown/Other,91739,Skilled,mid-Sized City
100000230,Male,Single,22,Unknown/Other,107780,Skilled,Big City
100000231,Male,Single,26,Unknown/Other,139157,Skilled,Big City
100000232,Male,Single,51,High School,121751,unemployed/unskilled,Small City
100000233,Male,Single,35,High School,121974,Skilled,Small City
100000234,Male,Not-Single,25,High School,70320,unemployed/unskilled,Small City
100000235,Male,Single,42,High School,78327,unemployed/unskilled,Small City
100000236,Male,Single,30,Unknown/Other,131433,Management/officer/self-employed,Small City
100000237,Male,Single,23,Unknown/Other,167076,unemployed/unskilled,Big City
100000238,Male,Not-Single,61,Graduate,130788,unemployed/unskilled,Small City
100000239,Female,Not-Single,35,High School,107408,Skilled,mid-Sized City
100000240,Male,Single,39,High School,115323,Skilled,mid-Sized City
100000241,Female,Not-Single,29,High School,99012,Skilled,Small City
100000242,Male,Single,51,High School,115996,Skilled,mid-Sized City
100000243,Male,Single,24,Unknown/Other,123353,Skilled,mid-Sized City
100000244,Female,Not-Single,27,High School,100008,Skilled,Small City
100000245,Female,Not-Single,35,High School,125105,unemployed/unskilled,Small City
100000246,Male,Single,25,Unknown/Other,92020,Skilled,Big City
100000247,Male,Single,52,High School,108365,Skilled,Big City
100000248,Male,Single,35,High School,112979,Skilled,Small City
100000249,Male,Single,26,Unknown/Other,117221,Skilled,mid-Sized City
100000250,Female,Not-Single,22,High School,88800,Skilled,Big City
100000251,Female,Not-Single,39,Graduate,115099,unemployed/unskilled,Small City
100000252,Female,Not-Single,46,Graduate,113399,unemployed/unskilled,Small City
100000253,Female,Not-Single,24,High School,115879,Skilled,mid-Sized City
100000254,Male,Single,35,High School,141270,Skilled,Big City
100000255,Male,Single,24,Unknown/Other,107633,Skilled,mid-Sized City
100000256,Male,Single,27,Unknown/Other,131751,unemployed/unskilled,Small City
100000257,Male,Single,35,High School,83687,unemployed/unskilled,Small City
100000258,Male,Not-Single,29,High School,106828,Skilled,Big City
100000259,Female,Not-Single,23,High School,135537,Skilled,mid-Sized City
100000260,Female,Not-Single,57,Graduate,107142,unemployed/unskilled,Small City
100000261,Male,Single,27,Unknown/Other,97446,Skilled,mid-Sized City
100000262,Female,Not-Single,55,Graduate,126357,Skilled,Big City
100000263,Male,Single,36,High School,169617,Management/officer/self-employed,mid-Sized City
100000264,Female,Not-Single,57,Graduate,108945,unemployed/unskilled,Small City
100000265,Male,Single,32,Unknown/Other,67345,unemployed/unskilled,Small City
100000266,Male,Single,37,High School,106215,Skilled,Small City
100000267,Male,Single,36,High School,149237,Skilled,Small City
100000268,Female,Not-Single,38,High School,112124,Skilled,Small City
100000269,Male,Not-Single,45,Graduate,215150,Management/officer/self-employed,Big City
100000270,Male,Single,25,Unknown/Other,89534,Skilled,mid-Sized City
100000271,Male,Single,32,Unknown/Other,111082,Skilled,Big City
100000272,Female,Not-Single,37,High School,137069,Skilled,mid-Sized City
100000273,Male,Single,36,High School,244541,Management/officer/self-employed,Big City
100000274,Male,Single,28,Unknown/Other,120712,Skilled,mid-Sized City
100000275,Male,Not-Single,34,High School,175367,unemployed/unskilled,Small City
100000276,Male,Single,32,Unknown/Other,111418,Skilled,mid-Sized City
100000277,Female,Not-Single,26,High School,110913,Skilled,Small City
100000278,Male,Not-Single,49,Graduate,84267,unemployed/unskilled,Small City
100000279,Female,Not-Single,32,High School,136886,Skilled,Big City
100000280,Male,Single,29,Unknown/Other,144884,Management/officer/self-employed,Big City
100000281,Male,Single,23,Unknown/Other,151180,Skilled,mid-Sized City
100000282,Male,Single,50,High School,114997,Skilled,mid-Sized City
100000283,Male,Single,49,High School,100961,unemployed/unskilled,Small City
100000284,Male,Single,63,Graduate,124849,Skilled,Big City
100000285,Male,Not-Single,37,High School,152308,Skilled,Big City
100000286,Female,Not-Single,35,High School,167945,unemployed/unskilled,mid-Sized City
100000287,Male,Single,26,Unknown/Other,126706,Skilled,Big City
100000288,Male,Single,31,Unknown/Other,210017,Management/officer/self-employed,Big City
100000289,Female,Not-Single,49,Graduate,125665,Skilled,mid-Sized City
100000290,Male,Not-Single,48,Graduate,111184,Skilled,mid-Sized City
100000291,Male,Not-Single,26,High School,94134,Skilled,Small City
100000292,Male,Not-Single,28,High School,214620,Management/officer/self-employed,mid-Sized City
100000293,Female,Not-Single,44,Graduate,193816,Management/officer/self-employed,mid-Sized City
100000294,Male,Single,56,High School,168714,Skilled,mid-Sized City
100000295,Male,Not-Single,46,Graduate,202997,Management/officer/self-employed,mid-Sized City
100000296,Female,Not-Single,26,High School,192451,Skilled,Big City
100000297,Female,Not-Single,20,High School,127928,Skilled,Big City
100000298,Male,Single,45,High School,78253,unemployed/unskilled,Small City
100000299,Male,Single,43,High School,118446,Skilled,mid-Sized City
100000300,Male,Single,32,Unknown/Other,161379,Skilled,Big City
100000301,Female,Not-Single,54,Graduate,56622,unemployed/unskilled,Small City
100000302,Female,Not-Single,42,Graduate,146117,Skilled,mid-Sized City
100000303,Male,Single,37,High School,90418,unemployed/unskilled,Small City
100000304,Male,Single,49,High School,109053,Skilled,Small City
100000305,Male,Single,44,High School,219319,Skilled,Small City
100000306,Male,Not-Single,33,High School,144701,Skilled,mid-Sized City
100000307,Female,Not-Single,24,High School,102425,unemployed/unskilled,Small City
100000308,Male,Not-Single,33,High School,79867,unemployed/unskilled,Small City
100000309,Female,Not-Single,24,High School,107114,Skilled,Big City
100000310,Male,Not-Single,22,High School,62263,unemployed/unskilled,Small City
100000311,Male,Single,40,High School,92567,unemployed/unskilled,Small City
100000312,Male,Single,25,Unknown/Other,146349,Skilled,Small City
100000313,Female,Not-Single,26,High School,141825,Skilled,mid-Sized City
100000314,Male,Not-Single,25,High School,68582,unemployed/unskilled,Small City
100000315,Male,Single,29,Unknown/Other,85476,unemployed/unskilled,Small City
100000316,Male,Single,31,Unknown/Other,111091,Skilled,Big City
100000317,Male,Single,38,High School,67110,unemployed/unskilled,Small City
100000318,Female,Not-Single,48,Graduate,126154,unemployed/unskilled,Small City
100000319,Male,Single,32,Unknown/Other,92257,Skilled,Big City
100000320,Female,Not-Single,27,High School,93605,unemployed/unskilled,Small City
100000321,Male,Not-Single,28,High School,165190,Management/officer/self-employed,Small City
100000322,Male,Not-Single,32,High School,107195,Skilled,Small City
100000323,Male,Single,34,High School,145059,Management/officer/self-employed,Small City
100000324,Male,Single,28,Unknown/Other,148363,Skilled,Small City
100000325,Female,Not-Single,36,High School,105681,Skilled,Big City
100000326,Male,Single,39,High School,93732,unemployed/unskilled,Small City
100000327,Male,Single,49,High School,154778,Skilled,Big City
100000328,Female,Not-Single,34,High School,149356,Skilled,Big City
100000329,Male,Single,31,Unknown/Other,145670,Skilled,mid-Sized City
100000330,Male,Single,28,Unknown/Other,101589,Skilled,Big City
100000331,Male,Single,75,Graduate,213333,Management/officer/self-employed,mid-Sized City
100000332,Female,Not-Single,30,High School,122420,Skilled,Small City
100000333,Female,Not-Single,24,High School,209856,Management/officer/self-employed,mid-Sized City
100000334,Female,Not-Single,24,High School,181003,unemployed/unskilled,Small City
100000335,Male,Single,23,Unknown/Other,117804,Skilled,mid-Sized City
100000336,Male,Not-Single,44,Graduate,160650,Management/officer/self-employed,mid-Sized City
100000337,Female,Not-Single,23,High School,84611,unemployed/unskilled,Small City
100000338,Female,Not-Single,24,High School,98479,Skilled,Big City
100000339,Male,Single,28,Unknown/Other,122359,Skilled,Big City
100000340,Male,Not-Single,31,High School,81394,unemployed/unskilled,Small City
100000341,Female,Not-Single,24,High School,150372,Skilled,mid-Sized City
100000342,Female,Not-Single,26,High School,92385,unemployed/unskilled,Small City
100000343,Male,Not-Single,25,High School,149851,Skilled,Big City
100000344,Male,Single,33,High School,167939,Management/officer/self-employed,mid-Sized City
100000345,Male,Single,37,High School,115426,unemployed/unskilled,Small City
100000346,Female,Not-Single,43,Graduate,85402,unemployed/unskilled,Small City
100000347,Male,Single,23,Unknown/Other,95815,Skilled,Big City
100000348,Female,Not-Single,23,High School,97518,unemployed/unskilled,Small City
100000349,Male,Single,34,High School,87355,unemployed/unskilled,Small City
100000350,Male,Single,32,Unknown/Other,145933,Skilled,mid-Sized City
100000351,Female,Not-Single,23,High School,97307,Skilled,Small City
100000352,Female,Not-Single,29,High School,108434,Skilled,Big City
100000353,Male,Single,38,High School,151312,Management/officer/self-employed,mid-Sized City
100000354,Male,Single,28,Unknown/Other,141847,Skilled,mid-Sized City
100000355,Male,Single,46,High School,130675,Skilled,Big City
100000356,Male,Single,23,Unknown/Other,69309,unemployed/unskilled,Small City
100000357,Male,Single,49,High School,121466,Skilled,Big City
100000358,Male,Single,26,Unknown/Other,153586,Management/officer/self-employed,Big City
100000359,Male,Not-Single,28,High School,92849,Skilled,Small City
100000360,Female,Not-Single,23,High School,108539,Skilled,Big City
100000361,Male,Single,61,Graduate,129556,Skilled,Big City
100000362,Male,Single,37,High School,170146,Management/officer/self-employed,Small City
100000363,Female,Not-Single,36,High School,135383,Skilled,mid-Sized City
100000364,Male,Not-Single,21,High School,96769,Skilled,Big City
100000365,Male,Single,25,Unknown/Other,43684,unemployed/unskilled,Small City
100000366,Male,Single,36,High School,103521,Skilled,Small City
100000367,Male,Single,27,Unknown/Other,118499,Skilled,mid-Sized City
100000368,Female,Not-Single,22,High School,119684,Skilled,Big City
100000369,Male,Single,42,High School,126586,Skilled,mid-Sized City
100000370,Female,Not-Single,40,Graduate,136812,Skilled,Big City
100000371,Male,Single,36,High School,118277,Skilled,mid-Sized City
100000372,Male,Single,33,High School,144597,Skilled,mid-Sized City
100000373,Female,Not-Single,23,High School,106043,Skilled,Small City
100000374,Male,Single,63,Graduate,272314,Management/officer/self-employed,Big City
100000375,Female,Not-Single,60,Graduate,309364,Management/officer/self-employed,Big City
100000376,Female,Not-Single,37,High School,170386,Skilled,mid-Sized City
100000377,Male,Not-Single,34,High School,112458,Skilled,Small City
100000378,Male,Single,36,High School,96840,Skilled,mid-Sized City
100000379,Male,Single,57,Graduate,281923,Management/officer/self-employed,mid-Sized City
100000380,Female,Not-Single,52,Graduate,95551,unemployed/unskilled,Small City
100000381,Male,Single,39,High School,112347,Skilled,Big City
100000382,Female,Not-Single,38,High School,260977,Management/officer/self-employed,Big City
100000383,Female,Not-Single,25,High School,99354,Skilled,Small City
100000384,Male,Single,26,Unknown/Other,111509,Skilled,Big City
100000385,Male,Single,26,Unknown/Other,105252,unemployed/unskilled,Small City
100000386,Female,Not-Single,25,High School,108522,Skilled,Small City
100000387,Female,Not-Single,21,High School,94655,Skilled,mid-Sized City
100000388,Male,Single,40,High School,201699,Management/officer/self-employed,mid-Sized City
100000389,Male,Single,27,Unknown/Other,139868,Skilled,Big City
100000390,Female,Not-Single,27,High School,102543,Skilled,mid-Sized City
100000391,Male,Not-Single,30,High School,134467,Management/officer/self-employed,Big City
100000392,Female,Not-Single,19,High School,111187,unemployed/unskilled,Small City
100000393,Male,Single,39,High School,152302,Management/officer/self-employed,mid-Sized City
100000394,Female,Not-Single,31,High School,110610,Skilled,Big City
100000395,Male,Single,31,Unknown/Other,137827,Management/officer/self-employed,Big City
100000396,Male,Single,32,Unknown/Other,220923,Skilled,Big City
100000397,Female,Not-Single,55,Graduate,165717,Management/officer/self-employed,Big City
100000398,Male,Not-Single,46,Graduate,122299,Skilled,Small City
100000399,Male,Not-Single,46,Graduate,120499,Skilled,Small City
100000400,Female,Not-Single,43,Graduate,126449,unemployed/unskilled,Small City
100000401,Male,Not-Single,39,High School,108315,Skilled,Big City
100000402,Male,Not-Single,28,High School,112515,Skilled,mid-Sized City
100000403,Male,Single,27,Unknown/Other,164559,Skilled,mid-Sized City
100000404,Male,Single,27,Unknown/Other,59238,unemployed/unskilled,Small City
100000405,Male,Single,43,High School,131133,Skilled,Small City
100000406,Male,Not-Single,22,High School,109188,Skilled,Small City
100000407,Male,Single,43,High School,115393,Skilled,mid-Sized City
100000408,Male,Not-Single,27,High School,94711,Skilled,Big City
100000409,Male,Not-Single,26,High School,171860,Management/officer/self-employed,Small City
100000410,Male,Not-Single,28,High School,139414,Skilled,Big City
100000411,Female,Not-Single,20,High School,110931,Skilled,mid-Sized City
100000412,Male,Single,35,High School,187549,Management/officer/self-employed,Big City
100000413,Male,Single,42,High School,145508,Management/officer/self-employed,Small City
100000414,Male,Single,40,High School,104240,unemployed/unskilled,Small City
100000415,Female,Not-Single,35,High School,108272,Skilled,mid-Sized City
100000416,Male,Single,35,High School,144004,Skilled,Big City
100000417,Male,Single,33,High School,81083,unemployed/unskilled,Small City
100000418,Female,Not-Single,23,High School,166763,Skilled,mid-Sized City
100000419,Female,Not-Single,31,High School,175530,Management/officer/self-employed,mid-Sized City
100000420,Female,Not-Single,33,High School,112422,Skilled,mid-Sized City
